age,nationality,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_39_45,ESP,44140,44,DOMESTIC_SOCIAL_SERVICES,,,,,,,,@outlook.es,False,True,ESP       ,ESP,true,False,ESP,True,False,True,0-2,1,Cantavieja,true
age_25_31,ITA,93120,93,FREELANCER,,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,IND,false,False,FRA,True,True,False,0-2,2,La Courneuve,true
age_25_31,IND,5621 ET,56,,,,,,,,,@gmail.com,False,True,NLD       ,IND,false,False,NLD,True,False,False,0-2,3,Eindhoven,true
age_18_24,FRA,62700,62,STUDENT,,VEHICLE_TRADE_AND_SERVICES,PUBLIC_SUBSIDIES,BETWEEN_1001_AND_2500_EURO,EUROPE_EU,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Bruay-la-Buissiere,true
age_46_52,FRA,45650,45,,STANDARD,,,,,,,@icloud.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Saint-Jean-le-Blanc,true
age_53_59,IT,55100,55,WORKER,STANDARD,,,,,,,@gmail.com,False,False,ITA       ,,true,False,ITA,True,True,True,0-2,,Lucca,true
age_25_31,BRA,1900093,19,,STANDARD,,,,,,,@gmail.com,False,True,PRT       ,PRT,true,False,BRA,False,False,False,3-5,4+,Lisboa,true
age_18_24,FRA,75020,75,,,,,,,,,@yopmail.com,False,True,FRA       ,,true,False,FRA,True,True,True,0-2,,Paris,true
age_18_24,ESP,36203,36,STUDENT,,,FAMILY_INCOME,,,,,@gmail.com,False,False,ESP       ,ESP,true,False,ESP,True,True,True,0-2,1,Vigo,true
age_18_24,FRA,75008,75,STUDENT,,,FAMILY_INCOME,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Paris,true
age_53_59,ITA,85025,85,ITA_ENTREPRENEUR,STANDARD,,SALARY,,,,,@gmail.com,False,False,ITA       ,ITA,true,False,ITA,True,True,True,0-2,2,Melfi,true
age_53_59,ESP,03550,03,FREELANCER,STANDARD,,,,,,,@hotmail.es,False,False,ESP       ,ESP,true,False,ESP,True,False,True,0-2,,San Juan de Alicante Alicante,true
age_25_31,ARG,1069 WP,10,,,,,,,,,@gmail.com,False,True,NLD       ,ARG,false,False,NLD,True,False,False,0-2,4+,Amsterdam,true
age_25_31,DEU,56073,56,,STANDARD,,,,,,,@gmail.com_TEMP9245,False,False,DEU       ,,true,False,,NULL,True,True,3-5,,Koblenz,true
age_18_24,FRA,77700,77,,,,,,,,,@gmx.fr,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Magny-le-Hongre,true
age_>60,AUT,6161,61,FREELANCER,,OTHER_SERVICE_ACTIVITIES,,,,,,@me.com,False,True,AUT       ,AUT,true,False,AUT,True,True,True,0-2,1,Natters,true
age_25_31,FRA,95200,95,,STANDARD,CONSTRUCTION,FAMILY_INCOME,,,,,@gmail.com,False,False,FRA       ,FRA,true,True,FRA,True,True,True,0-2,2,Sarcelles,true
age_18_24,ESP,01-616,01,FREELANCER,BUSINESS_METAL,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,True,POL       ,ESP,false,False,USA,False,False,False,0-2,2,Warszawa,true
age_18_24,POL,93300,93,FREELANCER,BUSINESS_CARD,CONSTRUCTION,PENSION,,,,,@gmail.com,False,False,FRA       ,POL,false,False,POL,False,False,False,0-2,2,Paris,true
age_18_24,ITA,80040,80,,BLACK_CARD_MONTHLY,,,,,,,@yahoo.com,False,False,ITA       ,,true,False,ITA,True,True,True,0-2,,Volla napoli,true
age_25_31,NGA,30519,30,UNEMPLOYED,STANDARD,,GOVERNMENT_PAYMENTS,,,,,@gmail.com,False,False,DEU       ,NGA,false,False,DEU,True,True,False,0-2,2,Hannover,true
age_>60,DEU,30419,30,,BUSINESS_CARD,,,,,,,@t-online.de,False,False,DEU       ,,true,False,DEU,True,True,True,0-2,,Hannover-Burg,true
age_25_31,COL,31675,31,STUDENT,,,OWN_BUSINESS,LESS_THAN_1000_EURO,EUROPE_EU,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,FRA       ,COL,false,False,ESP,False,False,False,0-2,1,Labege Innopole,true
age_25_31,ITA,38650,38,FREELANCER,BUSINESS_METAL,,,,,,,@gmail.com,False,False,ESP       ,ITA,false,False,ESP,True,True,False,0-2,2,Arona,true
age_39_45,ITA,72020,72,,,,,,,,,@gmail.com,False,True,ITA       ,,true,False,ITA,True,False,True,0-2,,Torchiarolo,true
age_53_59,FRA,78700,78,,,,,,,,,@gmail.com,False,True,FRA       ,KHM,false,False,FRA,True,True,True,0-2,2,Conflans-Sainte-Honorine,true
age_18_24,FRA,93130,93,EMPLOYEE,STANDARD,,,,,,,@hotmail.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Noisy-le-Sec,true
age_18_24,NLD,1705 TS,17,FREELANCER,BUSINESS_CARD,,FAMILY_INCOME,,,,ONLINE_TRADING_OR_CRYPTOCURRENCY,@outlook.com,False,False,NLD       ,NLD,true,False,NLD,True,True,True,0-2,2,Heerhugowaard,true
age_32_38,ITA,35020,35,ITA_FREELANCER,STANDARD,,SALARY,,,,,@gmail.com,False,False,ITA       ,ROU,false,False,ITA,True,True,True,12+,2,Due Carrare,true
age_32_38,FRA,92140,92,FREELANCER,BUSINESS_CARD,TRANSPORT,,,,,,@yahoo.fr,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Clamart,true
age_18_24,ROU,03-610,03,,,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,True,POL       ,ROU,false,False,ROU,False,False,False,0-2,1,Warszawa,true
age_32_38,BRA,20812,20,ITA_EMPLOYEE_PRIVATE_SECTOR,,,SALARY,,,,,@gmail.com,False,True,ITA       ,BRA,false,False,ITA,True,True,False,0-2,3,Limbiate,true
age_25_31,EGY,4600,46,,STANDARD,,,,,,,@gmail.com,False,True,AUT       ,,true,False,EGY,False,False,False,0-2,,Wels,true
age_32_38,CHE,75008,75,,STANDARD,,,,,,,@googlemail.com,False,False,FRA       ,,true,False,DEU,False,False,False,0-2,,Paris,true
age_18_24,FRA,93800,93,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Epinay-sur-Seine,true
age_18_24,NGA,28982,28,FREELANCER,BUSINESS_METAL,AGRICULTURE_AND_FORESTRY,EMPLOYMENT,,,,,@gmail.com,False,False,ESP       ,NGA,false,False,ESP,True,True,False,0-2,2,Madrid,true
age_25_31,FRA,44100,44,,,,,,,,,@gmail.com,False,True,FRA       ,,true,False,FRA,True,True,True,9-11,,Nantes,true
age_53_59,FRA,06240,06,FREELANCER,,AGRICULTURE,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Beausoleil,true
age_25_31,GBR,W3 7TZ,W3,,STANDARD,,,,,,,@gmail.com,False,True,GBR       ,,true,False,GBR,True,True,True,0-2,,London,true
age_32_38,FRA,56000,56,,,VEHICLE_TRADE_AND_SERVICES,INHERITANCE,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,NULL,True,0-2,2,Vannes,true
age_32_38,FRA,92500,92,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Rueil-Malmaison,true
age_32_38,FRA,72000,72,STUDENT,,,GAMBLING_WINNINGS,,,,,@gmail.com,False,True,FRA       ,CIV,false,False,FRA,True,True,True,0-2,2,Le Mans,true
age_18_24,PRT,2635-581,26,FREELANCER,BUSINESS_METAL,LOGISTICS_WHOLESALE_AND_RETAIL,CAPITAL_MARKET_INCOME,,,,SALARY_OR_PENSION,@gmail.com,False,False,PRT       ,PRT,true,False,PRT,True,True,True,0-2,1,Rio de Mouro,true
age_18_24,FRA,93410,93,STUDENT,,,INHERITANCE,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,NULL,True,0-2,2,Vaujours,true
age_18_24,GNQ,46980,46,STUDENT,STANDARD,,EMPLOYMENT,,,,,@gmail.com,False,False,ESP       ,GNQ,false,False,ESP,True,NULL,False,0-2,1,Paterna,true
age_25_31,VNM,14476,14,FREELANCER,,EDUCATION_AND_TEACHING,,,,,,@gmail.com,False,True,DEU       ,,true,False,DEU,True,True,False,0-2,,Potsdam,true
age_46_52,DEU,06686,06,UNEMPLOYED,,,GOVERNMENT_PAYMENTS,,,,,@gmail.com,False,True,DEU       ,DEU,true,False,DEU,True,NULL,True,12+,,Lützen,true
age_25_31,FRA,53604,53,,,,,,,,,@gmail.com,False,True,DEU       ,FRA,false,False,DEU,True,True,False,0-2,1,Bad Honnef,true
age_32_38,ITA,75010,75,,,,,,,,,@gmail.com,False,True,FRA       ,,true,False,FRA,True,True,False,0-2,,Paris,true
age_25_31,ITA,22072,22,ITA_ENTREPRENEUR,SMART,,SALARY,,,,,@autogiannini.it,False,False,ITA       ,ITA,true,False,ITA,True,True,True,0-2,3,Cermenate,true
age_18_24,POL,3151,31,FREELANCER,,SPORT_GAMBLING_ENTERTAINMENT_AND_GASTRONOMY,EMPLOYMENT,,,,,@gmail.com,False,True,AUT       ,POL,false,False,POL,False,False,False,0-2,2,Hart,true
age_25_31,GRC,95400,95,FREELANCER,,FINANCIAL_SERVICES,,,,,,@gmail.com,False,True,FRA       ,PAK,false,False,FRA,True,True,False,0-2,3,Villiers-le-Bel,true
