age,nationality,name_email,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_25_31,COD,false,93300,93,FREELANCER,,RETAIL_TRADE,,,,,,@gmail.com,False,True,FRA       ,COD,false,False,FRA,True,NULL,False,12+,,Aubervilliers,true
age_32_38,FRA,false,44400,44,,SMART,TRAVEL_AGENCIES_AND_REAL_ESTATE_AGENTS,EMPLOYMENT,,,,,@gmail.com,False,False,FRA       ,TGO,false,False,FRA,True,True,True,0-2,1,Reze,true
age_25_31,NLD,false,1445 ML,14,,,,,,,,,@gmail.com,False,True,NLD       ,,true,False,NLD,True,True,True,0-2,,PURMEREND,true
age_39_45,NGA,false,85049,85,,FLEX_ACCOUNT_MONTHLY,,,,,,,@yahoo.com,False,False,DEU       ,NGA,false,False,DEU,True,True,False,12+,2,Ingolstadt,true
age_46_52,FRA,false,95200,95,,BLACK_CARD_MONTHLY,,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Sarcelles,true
age_>60,DEU,true,28325,28,FREELANCER,FLEX_ACCOUNT_MONTHLY,VEHICLE_TRADE_AND_SERVICES,FAMILY_INCOME,,,,,@yahoo.de,False,False,DEU       ,USA,false,False,DEU,True,NULL,True,0-2,2,Bremen,true
age_53_59,ITA,true,46023,46,PENSIONER,,,FAMILY_INCOME,,,,DAY_TO_DAY_EXPENSES,@gmail.com,False,True,ESP       ,URY,false,False,ESP,True,True,False,0-2,1,Valencia,true
age_18_24,FRA,false,91180,91,FREELANCER,BUSINESS_CARD,OTHER_MANUFACTURING_INDUSTRY,,,,,,@icloud.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Saint germain les arpajon,true
age_25_31,ROU,false,00-679,00,,METAL_CARD_MONTHLY,CONSTRUCTION,EMPLOYMENT,,,,,@gmail.com,False,True,POL       ,POL,true,False,ROU,False,False,False,0-2,2,Warszawa,true
age_53_59,PHL,false,52134,52,FREELANCER,,ENERGY_UTILITIES_AND_TELECOMMUNICATION,EMPLOYMENT,,,,ONLINE_TRADING_OR_CRYPTOCURRENCY,@gmail.com,False,True,DEU       ,PHL,false,False,DEU,True,NULL,False,9-11,,Herzogenrath,true
age_18_24,DEU,true,66440,66,FREELANCER,,EDUCATION_AND_TEACHING,,,,,,@web.de,False,True,DEU       ,,true,False,DEU,True,True,True,0-2,,Blieskastel,true
age_18_24,FRA,true,75018,75,FREELANCER,BUSINESS_BLACK,OTHER_SERVICE_ACTIVITIES,,,,,,@gmail.com,False,False,FRA       ,,true,True,FRA,True,True,True,0-2,,Paris,true
age_25_31,FRA,false,65430,65,STUDENT,STANDARD,,,,,,,@hotmail.fr,False,False,FRA       ,,true,False,,NULL,True,True,3-5,,Soues,true
